"metric","model","dgp","mean_value","sd_y","value"
"coverage","BART_ps-bart","dgp30",0.94,NA,NA
"coverage","BART_ps-bart","dgp31",0.95,NA,NA
"coverage","BART_ps-bart","dgp32",0.97,NA,NA
"coverage","BART_ps-bart","dgp37",0.97,NA,NA
"coverage","BART_ps-bart","dgp38",0.99,NA,NA
"coverage","BART_ps-bart","dgp39",0.77,NA,NA
"coverage","BART_ps-bart","dgp40",0.96,NA,NA
"coverage","BART_ps-bart","dgp57",0.94,NA,NA
"coverage","BART_ps-bart","dgp58",0.94,NA,NA
"coverage","BART_ps-bart","dgp59",0.96,NA,NA
"coverage","BART_ps-bart","dgp60",0.9,NA,NA
"coverage","BART_ps-bart","dgp61",0.98,NA,NA
"coverage","BART_ps-bart","dgp62",0.95,NA,NA
"coverage","BART_ps-bart","dgp63",0.94,NA,NA
"coverage","BART_ps-bart","dgp64",0.93,NA,NA
"coverage","BART_ps-glm","dgp29",0.92,NA,NA
"coverage","BART_ps-glm","dgp30",0.86,NA,NA
"coverage","BART_ps-glm","dgp31",0.95,NA,NA
"coverage","BART_ps-glm","dgp32",0.99,NA,NA
"coverage","BART_ps-glm","dgp37",0.95,NA,NA
"coverage","BART_ps-glm","dgp38",0.98,NA,NA
"coverage","BART_ps-glm","dgp39",0.81,NA,NA
"coverage","BART_ps-glm","dgp40",0.95,NA,NA
"coverage","BART_ps-glm","dgp57",0.95,NA,NA
"coverage","BART_ps-glm","dgp58",0.92,NA,NA
"coverage","BART_ps-glm","dgp59",0.98,NA,NA
"coverage","BART_ps-glm","dgp60",0.9,NA,NA
"coverage","BART_ps-glm","dgp61",0.98,NA,NA
"coverage","BART_ps-glm","dgp62",0.96,NA,NA
"coverage","BART_ps-glm","dgp63",0.94,NA,NA
"coverage","BART_ps-glm","dgp64",0.93,NA,NA
"coverage","BART_s-learner","dgp29",0.9,NA,NA
"coverage","BART_s-learner","dgp30",0.84,NA,NA
"coverage","BART_s-learner","dgp31",0.95,NA,NA
"coverage","BART_s-learner","dgp32",0.99,NA,NA
"coverage","BART_s-learner","dgp37",0.96,NA,NA
"coverage","BART_s-learner","dgp38",0.97,NA,NA
"coverage","BART_s-learner","dgp39",0.83,NA,NA
"coverage","BART_s-learner","dgp40",0.94,NA,NA
"coverage","BART_s-learner","dgp57",0.95,NA,NA
"coverage","BART_s-learner","dgp58",0.93,NA,NA
"coverage","BART_s-learner","dgp59",0.94,NA,NA
"coverage","BART_s-learner","dgp60",0.89,NA,NA
"coverage","BART_s-learner","dgp61",0.98,NA,NA
"coverage","BART_s-learner","dgp62",0.96,NA,NA
"coverage","BART_s-learner","dgp63",0.96,NA,NA
"coverage","BART_s-learner","dgp64",0.94,NA,NA
"coverage","BART_t-learner","dgp29",0.91,NA,NA
"coverage","BART_t-learner","dgp30",0.6,NA,NA
"coverage","BART_t-learner","dgp31",0.98,NA,NA
"coverage","BART_t-learner","dgp32",0.99,NA,NA
"coverage","BART_t-learner","dgp37",0.88,NA,NA
"coverage","BART_t-learner","dgp38",0.85,NA,NA
"coverage","BART_t-learner","dgp39",0.83,NA,NA
"coverage","BART_t-learner","dgp40",0.73,NA,NA
"coverage","BART_t-learner","dgp57",0.96,NA,NA
"coverage","BART_t-learner","dgp58",0.92,NA,NA
"coverage","BART_t-learner","dgp59",0.95,NA,NA
