"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp32","ate_bias","bart_ps-bart",9,"bart","linear_basic",0.351039357297943
"dgp32","ci_length","bart_ps-bart",9,"bart","linear_basic",1.36507847951195
"dgp32","coverage","bart_ps-bart",9,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",10,"bart","linear_basic",2.16167651219742
"dgp32","ate_bias","bart_ps-bart",10,"bart","linear_basic",0.365713895393988
"dgp32","ci_length","bart_ps-bart",10,"bart","linear_basic",1.36052026661554
"dgp32","coverage","bart_ps-bart",10,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",11,"bart","linear_basic",2.6051918623898
"dgp32","ate_bias","bart_ps-bart",11,"bart","linear_basic",-0.0778014547983878
"dgp32","ci_length","bart_ps-bart",11,"bart","linear_basic",1.44893330476094
"dgp32","coverage","bart_ps-bart",11,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",12,"bart","linear_basic",2.27749744849623
"dgp32","ate_bias","bart_ps-bart",12,"bart","linear_basic",0.249892959095178
"dgp32","ci_length","bart_ps-bart",12,"bart","linear_basic",1.38113566452007
"dgp32","coverage","bart_ps-bart",12,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",13,"bart","linear_basic",2.45321153046502
"dgp32","ate_bias","bart_ps-bart",13,"bart","linear_basic",0.0741788771263883
"dgp32","ci_length","bart_ps-bart",13,"bart","linear_basic",1.3872894658258
"dgp32","coverage","bart_ps-bart",13,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",14,"bart","linear_basic",2.21734072849503
"dgp32","ate_bias","bart_ps-bart",14,"bart","linear_basic",0.310049679096378
"dgp32","ci_length","bart_ps-bart",14,"bart","linear_basic",1.40564369991774
"dgp32","coverage","bart_ps-bart",14,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",15,"bart","linear_basic",1.74613404844843
"dgp32","ate_bias","bart_ps-bart",15,"bart","linear_basic",0.781256359142981
"dgp32","ci_length","bart_ps-bart",15,"bart","linear_basic",1.39557376202991
"dgp32","coverage","bart_ps-bart",15,"bart","linear_basic",0
"dgp32","ate_estimate","bart_ps-bart",16,"bart","linear_basic",2.35440195189203
"dgp32","ate_bias","bart_ps-bart",16,"bart","linear_basic",0.172988455699384
"dgp32","ci_length","bart_ps-bart",16,"bart","linear_basic",1.38866472973096
"dgp32","coverage","bart_ps-bart",16,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",17,"bart","linear_basic",2.43118026231948
"dgp32","ate_bias","bart_ps-bart",17,"bart","linear_basic",0.0962101452719346
"dgp32","ci_length","bart_ps-bart",17,"bart","linear_basic",1.39191407147357
"dgp32","coverage","bart_ps-bart",17,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",18,"bart","linear_basic",2.80831006118407
"dgp32","ate_bias","bart_ps-bart",18,"bart","linear_basic",-0.280919653592661
"dgp32","ci_length","bart_ps-bart",18,"bart","linear_basic",1.40038507947221
"dgp32","coverage","bart_ps-bart",18,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",19,"bart","linear_basic",2.43009757206542
"dgp32","ate_bias","bart_ps-bart",19,"bart","linear_basic",0.0972928355259941
"dgp32","ci_length","bart_ps-bart",19,"bart","linear_basic",1.38682926280734
"dgp32","coverage","bart_ps-bart",19,"bart","linear_basic",1
"dgp32","ate_estimate","bart_ps-bart",20,"bart","linear_basic",2.01988908314086
"dgp32","ate_bias","bart_ps-bart",20,"bart","linear_basic",0.507501324450545
"dgp32","ci_length","bart_ps-bart",20,"bart","linear_basic",1.38420805812099
"dgp32","coverage","bart_ps-bart",20,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",1,"bart","linear_basic",3.68029649043905
"dgp37","ate_bias","bart_ps-bart",1,"bart","linear_basic",0.319703509560949
"dgp37","ci_length","bart_ps-bart",1,"bart","linear_basic",0.520788768451681
"dgp37","coverage","bart_ps-bart",1,"bart","linear_basic",0
"dgp37","ate_estimate","bart_ps-bart",2,"bart","linear_basic",4.15153280337835
"dgp37","ate_bias","bart_ps-bart",2,"bart","linear_basic",-0.151532803378347
"dgp37","ci_length","bart_ps-bart",2,"bart","linear_basic",0.696119359959287
"dgp37","coverage","bart_ps-bart",2,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",3,"bart","linear_basic",3.98659077402463
"dgp37","ate_bias","bart_ps-bart",3,"bart","linear_basic",0.0134092259753666
"dgp37","ci_length","bart_ps-bart",3,"bart","linear_basic",0.618561761090969
"dgp37","coverage","bart_ps-bart",3,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",4,"bart","linear_basic",4.15634936539644
"dgp37","ate_bias","bart_ps-bart",4,"bart","linear_basic",-0.156349365396435
"dgp37","ci_length","bart_ps-bart",4,"bart","linear_basic",0.614155924298458
"dgp37","coverage","bart_ps-bart",4,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",5,"bart","linear_basic",3.94318692032522
"dgp37","ate_bias","bart_ps-bart",5,"bart","linear_basic",0.0568130796747806
"dgp37","ci_length","bart_ps-bart",5,"bart","linear_basic",0.688969677070698
"dgp37","coverage","bart_ps-bart",5,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",6,"bart","linear_basic",4.03805165776041
"dgp37","ate_bias","bart_ps-bart",6,"bart","linear_basic",-0.0380516577604109
"dgp37","ci_length","bart_ps-bart",6,"bart","linear_basic",0.632176181943801
"dgp37","coverage","bart_ps-bart",6,"bart","linear_basic",1
"dgp37","ate_estimate","bart_ps-bart",7,"bart","linear_basic",4.0066658210924
"dgp37","ate_bias","bart_ps-bart",7,"bart","linear_basic",-0.00666582109240377
"dgp37","ci_length","bart_ps-bart",7,"bart","linear_basic",0.534998880924663
"dgp37","coverage","bart_ps-bart",7,"bart","linear_basic",1
