"model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"causal_forest","dgp40",0.35207530961187,0.0505711107240929,0.0637363421031022,0.483781503280149,0.0694890192544866,0.0875791700082825,0.98,1.80655094187938,0.259487914137494,0.327040680544285
"causal_forest","dgp57",0.0784609429250466,0.156921885850093,0.0632228882343412,0.0968693607974855,0.193738721594971,0.0780561709140058,0.95,0.356047764727241,0.712095529454482,0.286899025123129
"causal_forest","dgp58",0.0843825887268481,0.0843825887268481,0.0607753430861955,0.104157437883859,0.104157437883859,0.0750178931208415,0.92,0.365916992336067,0.365916992336067,0.263546438736094
"causal_forest","dgp59",0.0797855519550102,0.0997319399437627,0.0654193796594312,0.0984968453257106,0.123121056657138,0.0807615208735082,0.92,0.350529615457412,0.438162019321765,0.287413315237996
"causal_forest","dgp60",0.0790888876911692,0.046902278359655,0.0657236919416277,0.0980795078762041,0.0581643327410374,0.0815050957172817,0.88,0.30403651396125,0.180303524624002,0.252657519481422
"causal_forest","dgp61",0.16775740869704,0.0838787043485199,0.0533420782252728,0.210887945838942,0.105443972919471,0.0670563606762867,0.97,0.830572556291761,0.41528627814588,0.264098418147905
"causal_forest","dgp62",0.184290918688628,0.092145459344314,0.0717253402593248,0.22810712093108,0.11405356046554,0.0887784432395163,0.93,0.834422203382033,0.417211101691016,0.324754018718801
"causal_forest","dgp63",0.17987023382366,0.0899351169118298,0.0653107155123221,0.235492496938103,0.117746248469052,0.0855071077957747,0.9,0.854944656617104,0.427472328308552,0.310429613950694
"causal_forest","dgp64",0.121275337573693,0.0334552655375703,0.0374479261316605,0.151772762515447,0.0418683482801233,0.0468650536307344,0.95,0.617864977918252,0.170445511149863,0.190787034819533
"weighting","dgp29",0.35293866135433,0.0882346653385826,0.0176854192059063,0.431923425203702,0.107980856300926,0.0216432702789381,0.92,1.59031808672433,0.397579521681081,0.0796893203100189
"weighting","dgp30",11.9020200449249,1.19020200449249,0.48402262928036,11.9145407814278,1.19145407814278,0.484531813417152,0,2.38017651027546,0.238017651027546,0.0967952741052659
"weighting","dgp31",0.414412213763265,0.207206106881632,0.0228434025174489,0.513862200063983,0.256931100031991,0.028325326051488,0.93,1.88197068081731,0.940985340408655,0.103738771108001
"weighting","dgp32",0.271357117880917,0.107366522032312,0.0213378120359424,0.320758226870352,0.126912813274477,0.025222403625857,0.98,1.33117117312192,0.526697881389253,0.104674904058369
"weighting","dgp37",0.137253025587286,0.0343132563968215,0.0260117806063299,0.168182778961155,0.0420456947402888,0.0318734944412452,0.97,0.672725593652684,0.168181398413171,0.127492931215773
"weighting","dgp38",0.145871198560308,0.0583484794241232,0.101911391713944,0.186919831600262,0.0747679326401046,0.130589591127841,0.92,0.676569033582564,0.270627613433025,0.47267789997935
"weighting","dgp39",0.267311925248475,0.0426314681611271,0.0191897042783775,0.328489443727272,0.0523881875023285,0.0235814967021604,0.95,1.39849872347881,0.223035518329178,0.100394985791604
"weighting","dgp40",0.29232549093135,0.0419888142274482,0.0529198071742025,0.35601322146365,0.0511367413458415,0.064449223949982,0.79,0.895370263317117,0.128608475201476,0.162089257195105
"weighting","dgp57",0.0694199377201632,0.138839875440326,0.0559377545068446,0.0870969704870536,0.174193940974107,0.0701816958268403,0.96,0.349691252404104,0.699382504808208,0.281777023612775
"weighting","dgp58",0.0894744019197361,0.0894744019197361,0.0644426481357042,0.115767537102051,0.115767537102051,0.0833798997136295,0.91,0.398557800076786,0.398557800076786,0.287055509967296
"weighting","dgp59",0.078944845370341,0.0986810567129262,0.0647300505528823,0.0962880306494424,0.120360038311803,0.0789504249750229,0.95,0.368946045728017,0.461182557160022,0.302513686349341
